                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3221,                0.77482,                0.86142,                0.83975,                 0.8266,                0.88519,                0.52307,                 1.2823,                0.84628,                0.87017,               0.000467,               0.000467,               0.000467
                     36,                  1.357,                0.85159,                0.84679,                0.83751,                0.86466,                0.88564,                 0.5238,                 1.2904,                0.84826,                0.86899,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.3302,                 0.8048,                0.85343,                0.86331,                0.83073,                0.89559,                0.53993,                 1.2445,                0.79824,                0.87175,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.2746,                0.79772,                0.85131,                0.84977,                0.85605,                0.90994,                 0.5421,                 1.2506,                0.82209,                0.86846,             0.00038211,             0.00038211,             0.00038211
                     39,                 1.3023,                0.76145,                0.84413,                0.87413,                 0.8191,                0.90775,                0.54868,                 1.2363,                0.82805,                0.86848,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.3359,                0.83239,                0.84813,                0.87067,                0.85342,                0.91036,                0.54614,                 1.2212,                0.79181,                 0.8666,             0.00032553,             0.00032553,             0.00032553
                     41,                 1.3121,                0.82431,                 0.8616,                0.85573,                0.86378,                0.90824,                0.55298,                 1.2221,                0.78925,                0.86675,             0.00029723,             0.00029723,             0.00029723
                     42,                 1.2721,                  0.791,                0.85237,                0.86298,                0.85565,                0.90997,                0.54781,                  1.219,                0.78595,                0.86476,             0.00026894,             0.00026894,             0.00026894
                     43,                 1.2917,                0.79246,                0.85472,                0.87271,                0.83574,                0.90526,                0.54697,                 1.2554,                0.78807,                  0.866,             0.00024064,             0.00024064,             0.00024064
                     44,                  1.247,                0.76604,                0.85472,                0.85223,                 0.8312,                0.90054,                 0.5447,                 1.2119,                0.78359,                0.86273,             0.00021235,             0.00021235,             0.00021235
                     45,                 1.2296,                0.75565,                0.85627,                0.86363,                0.83731,                0.90688,                0.56061,                 1.1758,                0.77176,                0.86106,             0.00018406,             0.00018406,             0.00018406
                     46,                 1.2337,                0.77614,                0.85319,                0.85231,                0.82726,                0.90794,                0.56009,                 1.1579,                0.76451,                0.85968,             0.00015576,             0.00015576,             0.00015576
                     47,                 1.2102,                0.75773,                0.84542,                0.83717,                0.86788,                0.91582,                0.56586,                 1.1496,                0.74362,                0.86079,             0.00012747,             0.00012747,             0.00012747
                     48,                 1.2059,                0.74473,                0.83566,                0.81834,                0.87236,                 0.9117,                0.57257,                 1.1581,                0.74567,                0.85959,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                 1.2003,                0.75491,                0.84928,                0.89971,                 0.7939,                0.91208,                0.57372,                 1.1498,                0.74103,                0.85917,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                 1.1614,                0.72085,                0.83772,                0.82908,                0.87282,                0.91431,                0.57218,                 1.1447,                0.73591,                0.85934,             4.2584e-05,             4.2584e-05,             4.2584e-05
